,m0,m1,m2,m3,m4,m5
m0,3,3,3,3,3,3
m1,3,8,8,8,8,8
m2,3,8,20,20,12,20
m3,3,8,20,25,17,25
m4,3,8,12,17,19,19
m5,3,8,20,25,19,27
