Graph,S,T,D,MethodId,Method,Status,Reliability,TimeSec,Recursions,Error
5_blocks_sausage_3x3_kao.txt,0,48,18,4,Cancela-Petingi (Level 4),OK,0.469198149901272,0.020369,204,
5_blocks_sausage_3x3_kao.txt,0,48,18,5,M-Decomp + CPFM (Level 5),OK,0.469198149901272,0.000363,23,
5_blocks_sausage_3x3_kao.txt,0,48,19,0,Standard Factoring (Level 0),TIMEOUT,,,0,
5_blocks_sausage_3x3_kao.txt,0,48,19,1,Recursive Decomposition (Level 1),TIMEOUT,,,0,
5_blocks_sausage_3x3_kao.txt,0,48,19,2,Simple Factoring (Level 2),OK,0.786490614464331,2.288000,1403356,
5_blocks_sausage_3x3_kao.txt,0,48,19,3,M-Decomposition (Level 3),OK,0.786490614459989,3.367000,161664,
5_blocks_sausage_3x3_kao.txt,0,48,19,4,Cancela-Petingi (Level 4),TIMEOUT,,,0,
5_blocks_sausage_3x3_kao.txt,0,48,19,5,M-Decomp + CPFM (Level 5),OK,0.786490614460003,2.138919,158147,
5_blocks_sausage_3x3_kao.txt,0,48,20,0,Standard Factoring (Level 0),TIMEOUT,,,0,
5_blocks_sausage_3x3_kao.txt,0,48,20,1,Recursive Decomposition (Level 1),TIMEOUT,,,0,
5_blocks_sausage_3x3_kao.txt,0,48,20,2,Simple Factoring (Level 2),OK,0.914528148198885,4.154000,2332819,
5_blocks_sausage_3x3_kao.txt,0,48,20,3,M-Decomposition (Level 3),OK,0.914528148192698,3.426000,161664,
5_blocks_sausage_3x3_kao.txt,0,48,20,4,Cancela-Petingi (Level 4),TIMEOUT,,,0,
5_blocks_sausage_3x3_kao.txt,0,48,20,5,M-Decomp + CPFM (Level 5),OK,0.914528148192714,3.158682,149712,
5_blocks_sausage_3x3_kao.txt,0,48,21,0,Standard Factoring (Level 0),TIMEOUT,,,0,
5_blocks_sausage_3x3_kao.txt,0,48,21,1,Recursive Decomposition (Level 1),TIMEOUT,,,0,
5_blocks_sausage_3x3_kao.txt,0,48,21,2,Simple Factoring (Level 2),OK,0.946761009190585,7.381000,3271144,
5_blocks_sausage_3x3_kao.txt,0,48,21,3,M-Decomposition (Level 3),OK,0.946761009183531,4.834000,161664,
5_blocks_sausage_3x3_kao.txt,0,48,21,4,Cancela-Petingi (Level 4),TIMEOUT,,,0,
5_blocks_sausage_3x3_kao.txt,0,48,21,5,M-Decomp + CPFM (Level 5),OK,0.946761009183546,3.200750,113356,
6_blocks_sausage_3x3_kao.txt,0,58,22,0,Standard Factoring (Level 0),TIMEOUT,,,0,
6_blocks_sausage_3x3_kao.txt,0,58,22,1,Recursive Decomposition (Level 1),TIMEOUT,,,0,
6_blocks_sausage_3x3_kao.txt,0,58,22,2,Simple Factoring (Level 2),OK,0.450114878871858,2.146000,758200,
6_blocks_sausage_3x3_kao.txt,0,58,22,3,M-Decomposition (Level 3),OK,0.450114878869538,7.410000,191748,
6_blocks_sausage_3x3_kao.txt,0,58,22,4,Cancela-Petingi (Level 4),OK,0.450114878869546,0.464977,1429,
6_blocks_sausage_3x3_kao.txt,0,58,22,5,M-Decomp + CPFM (Level 5),OK,0.450114878869546,0.000590,30,
