Graph,S,T,D,MethodId,Method,Status,Reliability,TimeSec,Recursions,Error
5_blocks_sausage_3x3_kao.txt,0,48,18,3,m3: Block + Conv + Modified Facto,OK,0.469198149901265,2.421000,161664,
5_blocks_sausage_3x3_kao.txt,0,48,18,2,m2: Block + Conv + Simple Facto,OK,0.469198149903078,0.844000,576849,
5_blocks_sausage_3x3_kao.txt,0,48,18,1,m1: Block + Pure Facto,TIMEOUT,,,0,
5_blocks_sausage_3x3_kao.txt,0,48,18,0,m0: Pure Factoring,TIMEOUT,,,0,
5_blocks_sausage_3x3_kao.txt,0,48,19,5,m5: Block + Conv + Modified Cancela-Petingi,OK,0.786490614460003,1.975685,158147,
5_blocks_sausage_3x3_kao.txt,0,48,19,4,m4: Cancela-Petingi (Nesterov),OK,0.786490614460003,122.415468,563967,
5_blocks_sausage_3x3_kao.txt,0,48,19,3,m3: Block + Conv + Modified Facto,OK,0.786490614459989,2.736000,161664,
5_blocks_sausage_3x3_kao.txt,0,48,19,2,m2: Block + Conv + Simple Facto,OK,0.786490614464331,1.862000,1403356,
5_blocks_sausage_3x3_kao.txt,0,48,19,1,m1: Block + Pure Facto,TIMEOUT,,,0,
5_blocks_sausage_3x3_kao.txt,0,48,19,0,m0: Pure Factoring,TIMEOUT,,,0,
5_blocks_sausage_3x3_kao.txt,0,48,20,5,m5: Block + Conv + Modified Cancela-Petingi,OK,0.914528148192714,2.725071,149712,
5_blocks_sausage_3x3_kao.txt,0,48,20,4,m4: Cancela-Petingi (Nesterov),TIMEOUT,,,0,
5_blocks_sausage_3x3_kao.txt,0,48,20,3,m3: Block + Conv + Modified Facto,OK,0.914528148192698,3.207000,161664,
5_blocks_sausage_3x3_kao.txt,0,48,20,2,m2: Block + Conv + Simple Facto,OK,0.914528148198885,3.767000,2332819,
5_blocks_sausage_3x3_kao.txt,0,48,20,1,m1: Block + Pure Facto,TIMEOUT,,,0,
5_blocks_sausage_3x3_kao.txt,0,48,20,0,m0: Pure Factoring,TIMEOUT,,,0,
5_blocks_sausage_3x3_kao.txt,0,48,21,5,m5: Block + Conv + Modified Cancela-Petingi,OK,0.946761009183546,2.660722,113356,
5_blocks_sausage_3x3_kao.txt,0,48,21,4,m4: Cancela-Petingi (Nesterov),TIMEOUT,,,0,
5_blocks_sausage_3x3_kao.txt,0,48,21,3,m3: Block + Conv + Modified Facto,OK,0.946761009183531,3.394000,161664,
5_blocks_sausage_3x3_kao.txt,0,48,21,2,m2: Block + Conv + Simple Facto,OK,0.946761009190585,6.424000,3271144,
5_blocks_sausage_3x3_kao.txt,0,48,21,1,m1: Block + Pure Facto,TIMEOUT,,,0,
