Graph,S,T,D,MethodId,Method,Status,Reliability,TimeSec,Recursions,CompletedRuns,MinTimeSec,MaxTimeSec,Error
3_blocks_sausage_3x3_kao.txt,0,28,10,5,m5: Block + Conv + Modified Cancela-Petingi,OK,0.509826181948169,0.000130,9,8,0.000114,0.000309,
3_blocks_sausage_3x3_kao.txt,0,28,10,4,m4: Cancela-Petingi (Nesterov),OK,0.509826181948169,0.000102,4,8,0.000071,0.000176,
3_blocks_sausage_3x3_kao.txt,0,28,10,3,m3: Block + Conv + Modified Facto,OK,0.509826181948161,0.599000,101496,8,0.580000,0.743000,
3_blocks_sausage_3x3_kao.txt,0,28,10,2,m2: Block + Conv + Simple Facto,OK,0.509826181948818,0.175000,214147,8,0.170000,0.187000,
3_blocks_sausage_3x3_kao.txt,0,28,10,1,m1: Block + Pure Facto,OK,0.509826181948818,3.757500,4294110,8,3.684000,3.853000,
3_blocks_sausage_3x3_kao.txt,0,28,10,0,m0: Pure Factoring,TIMEOUT,,,0,0,,,
3_blocks_sausage_3x3_kao.txt,0,28,11,5,m5: Block + Conv + Modified Cancela-Petingi,OK,0.819793714073742,0.491145,52817,8,0.433123,0.568677,
3_blocks_sausage_3x3_kao.txt,0,28,11,4,m4: Cancela-Petingi (Nesterov),OK,0.819793714073742,0.012996,436,8,0.010767,0.014337,
3_blocks_sausage_3x3_kao.txt,0,28,11,3,m3: Block + Conv + Modified Facto,OK,0.819793714073727,0.877000,101496,8,0.812000,1.000000,
3_blocks_sausage_3x3_kao.txt,0,28,11,2,m2: Block + Conv + Simple Facto,OK,0.819793714075253,0.668000,524448,8,0.624000,0.762000,
3_blocks_sausage_3x3_kao.txt,0,28,11,1,m1: Block + Pure Facto,OK,0.819793714075253,8.531500,6722430,8,7.661000,9.914000,
3_blocks_sausage_3x3_kao.txt,0,28,11,0,m0: Pure Factoring,TIMEOUT,,,0,0,,,
3_blocks_sausage_3x3_kao.txt,0,28,12,5,m5: Block + Conv + Modified Cancela-Petingi,OK,0.934403607310576,0.836681,54762,8,0.677284,0.860540,
3_blocks_sausage_3x3_kao.txt,0,28,12,4,m4: Cancela-Petingi (Nesterov),OK,0.934403607310576,1.150056,15221,8,1.003424,1.312944,
3_blocks_sausage_3x3_kao.txt,0,28,12,3,m3: Block + Conv + Modified Facto,OK,0.934403607310560,0.918000,101496,8,0.802000,1.056000,
3_blocks_sausage_3x3_kao.txt,0,28,12,2,m2: Block + Conv + Simple Facto,OK,0.934403607312682,1.129500,881093,8,0.935000,1.260000,
3_blocks_sausage_3x3_kao.txt,0,28,12,1,m1: Block + Pure Facto,OK,0.934403607312682,13.566500,9759970,8,10.888000,16.636000,
