,m0,m1,m2,m3,m4,m5
m0,4,4,4,4,4,4
m1,4,24,24,24,19,24
m2,4,24,32,32,22,32
m3,4,24,32,35,25,35
m4,4,19,22,25,33,31
m5,4,24,32,35,31,41
