,m0,m1,m2,m3,m4,m5
m0,12,7,12,12,12,12
m1,7,11,11,11,11,11
m2,12,11,25,25,21,25
m3,12,11,25,25,21,25
m4,12,11,21,21,21,21
m5,12,11,25,25,21,25
