Graph,S,T,D,MethodId,Method,Status,Reliability,TimeSec,Recursions,Error
5_blocks_sausage_3x3_kao.txt,0,48,17,4,Cancela-Petingi (Level 4),OK,0.000000000000000,0.006036,0,
5_blocks_sausage_3x3_kao.txt,0,48,17,5,M-Decomp + CPFM (Level 5),OK,0.000000000000000,0.000097,0,
5_blocks_sausage_3x3_kao.txt,0,48,18,0,Standard Factoring (Level 0),TIMEOUT,,,0,
5_blocks_sausage_3x3_kao.txt,0,48,18,1,Recursive Decomposition (Level 1),TIMEOUT,,,0,
5_blocks_sausage_3x3_kao.txt,0,48,18,2,Simple Factoring (Level 2),OK,0.469198149903078,0.805000,576849,
5_blocks_sausage_3x3_kao.txt,0,48,18,3,M-Decomposition (Level 3),OK,0.469198149901265,2.676000,161664,
5_blocks_sausage_3x3_kao.txt,0,48,18,4,Cancela-Petingi (Level 4),OK,0.469198149901272,0.015686,204,
5_blocks_sausage_3x3_kao.txt,0,48,18,5,M-Decomp + CPFM (Level 5),OK,0.469198149901272,0.000293,23,
5_blocks_sausage_3x3_kao.txt,0,48,19,0,Standard Factoring (Level 0),TIMEOUT,,,0,
5_blocks_sausage_3x3_kao.txt,0,48,19,1,Recursive Decomposition (Level 1),TIMEOUT,,,0,
5_blocks_sausage_3x3_kao.txt,0,48,19,2,Simple Factoring (Level 2),OK,0.786490614464331,2.307000,1403356,
5_blocks_sausage_3x3_kao.txt,0,48,19,3,M-Decomposition (Level 3),OK,0.786490614459989,3.001000,161664,
5_blocks_sausage_3x3_kao.txt,0,48,19,4,Cancela-Petingi (Level 4),OK,0.786490614460003,100.978316,563967,
5_blocks_sausage_3x3_kao.txt,0,48,19,5,M-Decomp + CPFM (Level 5),OK,0.786490614460003,1.667435,158147,
5_blocks_sausage_3x3_kao.txt,0,48,20,0,Standard Factoring (Level 0),TIMEOUT,,,0,
5_blocks_sausage_3x3_kao.txt,0,48,20,1,Recursive Decomposition (Level 1),TIMEOUT,,,0,
5_blocks_sausage_3x3_kao.txt,0,48,20,2,Simple Factoring (Level 2),OK,0.914528148198885,3.838000,2332819,
5_blocks_sausage_3x3_kao.txt,0,48,20,3,M-Decomposition (Level 3),OK,0.914528148192698,2.889000,161664,
5_blocks_sausage_3x3_kao.txt,0,48,20,4,Cancela-Petingi (Level 4),TIMEOUT,,,0,
5_blocks_sausage_3x3_kao.txt,0,48,20,5,M-Decomp + CPFM (Level 5),OK,0.914528148192714,2.750932,149712,
6_blocks_sausage_3x3_kao.txt,0,58,21,0,Standard Factoring (Level 0),OK,0.000000000000000,0.000009,1,
6_blocks_sausage_3x3_kao.txt,0,58,21,1,Recursive Decomposition (Level 1),TIMEOUT,,,0,
6_blocks_sausage_3x3_kao.txt,0,58,21,2,Simple Factoring (Level 2),OK,0.000000000000000,0.000000,0,
6_blocks_sausage_3x3_kao.txt,0,58,21,3,M-Decomposition (Level 3),OK,0.000000000000000,4.235000,191748,
6_blocks_sausage_3x3_kao.txt,0,58,21,4,Cancela-Petingi (Level 4),OK,0.000000000000000,0.145334,0,
6_blocks_sausage_3x3_kao.txt,0,58,21,5,M-Decomp + CPFM (Level 5),OK,0.000000000000000,0.000184,0,
6_blocks_sausage_3x3_kao.txt,0,58,22,0,Standard Factoring (Level 0),TIMEOUT,,,0,
6_blocks_sausage_3x3_kao.txt,0,58,22,1,Recursive Decomposition (Level 1),TIMEOUT,,,0,
6_blocks_sausage_3x3_kao.txt,0,58,22,2,Simple Factoring (Level 2),OK,0.450114878871858,1.488000,758200,
6_blocks_sausage_3x3_kao.txt,0,58,22,3,M-Decomposition (Level 3),OK,0.450114878869538,4.781000,191748,
6_blocks_sausage_3x3_kao.txt,0,58,22,4,Cancela-Petingi (Level 4),OK,0.450114878869546,0.387298,1429,
6_blocks_sausage_3x3_kao.txt,0,58,22,5,M-Decomp + CPFM (Level 5),OK,0.450114878869546,0.000565,30,
6_blocks_sausage_3x3_kao.txt,0,58,23,0,Standard Factoring (Level 0),TIMEOUT,,,0,
6_blocks_sausage_3x3_kao.txt,0,58,23,1,Recursive Decomposition (Level 1),TIMEOUT,,,0,
6_blocks_sausage_3x3_kao.txt,0,58,23,2,Simple Factoring (Level 2),OK,0.769864225178824,4.157000,1842810,
6_blocks_sausage_3x3_kao.txt,0,58,23,3,M-Decomposition (Level 3),OK,0.769864225173192,4.879000,191748,
6_blocks_sausage_3x3_kao.txt,0,58,23,4,Cancela-Petingi (Level 4),TIMEOUT,,,0,
6_blocks_sausage_3x3_kao.txt,0,58,23,5,M-Decomp + CPFM (Level 5),OK,0.769864225173205,2.984553,210812,
6_blocks_sausage_3x3_kao.txt,0,58,24,0,Standard Factoring (Level 0),TIMEOUT,,,0,
6_blocks_sausage_3x3_kao.txt,0,58,24,1,Recursive Decomposition (Level 1),TIMEOUT,,,0,
6_blocks_sausage_3x3_kao.txt,0,58,24,2,Simple Factoring (Level 2),OK,0.904302273164503,8.576000,3058682,
6_blocks_sausage_3x3_kao.txt,0,58,24,3,M-Decomposition (Level 3),OK,0.904302273156389,7.301000,191748,
6_blocks_sausage_3x3_kao.txt,0,58,24,4,Cancela-Petingi (Level 4),TIMEOUT,,,0,
6_blocks_sausage_3x3_kao.txt,0,58,24,5,M-Decomp + CPFM (Level 5),OK,0.904302273156404,5.437802,197187,
K4_kao.txt,0,1,2,0,Standard Factoring (Level 0),OK,0.996390000000001,0.000198,127,
K4_kao.txt,0,1,2,1,Recursive Decomposition (Level 1),OK,0.996390000000001,0.000217,127,
K4_kao.txt,0,1,2,2,Simple Factoring (Level 2),OK,0.996390000000001,0.000227,127,
