,m0,m1,m2,m3,m4,m5
m0,0,0,0,0,0,0
m1,0,0,0,0,0,0
m2,0,0,0,0,0,0
m3,0,0,0,23,7,23
m4,0,0,0,7,11,11
m5,0,0,0,23,11,27
