Graph,S,T,D,MethodId,Method,Status,Reliability,TimeSec,Recursions,Error
3_blocks_sausage_3x3_kao.txt,0,28,10,3,M-Decomposition (Level 3),OK,0.509826181948161,0.587676,101496,
3_blocks_sausage_3x3_kao.txt,0,28,11,3,M-Decomposition (Level 3),OK,0.819793714073727,0.587676,0,
3_blocks_sausage_3x3_kao.txt,0,28,12,3,M-Decomposition (Level 3),OK,0.934403607310560,0.587676,0,
3_blocks_sausage_3x3_kao.txt,0,28,13,3,M-Decomposition (Level 3),OK,0.959339550846859,0.587676,0,
3_blocks_sausage_3x3_kao.txt,0,28,10,4,Cancela-Petingi (Level 4),TIMEOUT,,,0,
3_blocks_sausage_3x3_kao.txt,0,28,11,4,Cancela-Petingi (Level 4),TIMEOUT,,,0,
3_blocks_sausage_3x3_kao.txt,0,28,12,4,Cancela-Petingi (Level 4),TIMEOUT,,,0,
3_blocks_sausage_3x3_kao.txt,0,28,13,4,Cancela-Petingi (Level 4),TIMEOUT,,,0,
3_blocks_sausage_3x3_kao.txt,0,28,10,5,M-Decomp + CPFM (Level 5),OK,0.509826181948169,0.597683,42156,
3_blocks_sausage_3x3_kao.txt,0,28,11,5,M-Decomp + CPFM (Level 5),OK,0.819793714073742,0.597683,0,
3_blocks_sausage_3x3_kao.txt,0,28,12,5,M-Decomp + CPFM (Level 5),OK,0.934403607310575,0.597683,0,
3_blocks_sausage_3x3_kao.txt,0,28,13,5,M-Decomp + CPFM (Level 5),OK,0.959339550846875,0.597683,0,
4_blocks_sausage_3x3_kao.txt,0,38,14,3,M-Decomposition (Level 3),OK,0.489090483797531,1.593399,131580,
4_blocks_sausage_3x3_kao.txt,0,38,15,3,M-Decomposition (Level 3),OK,0.803143004288652,1.593399,0,
4_blocks_sausage_3x3_kao.txt,0,38,16,3,M-Decomposition (Level 3),OK,0.924565335478149,1.593399,0,
4_blocks_sausage_3x3_kao.txt,0,38,17,3,M-Decomposition (Level 3),OK,0.953107508635227,1.593399,0,
4_blocks_sausage_3x3_kao.txt,0,38,14,4,Cancela-Petingi (Level 4),TIMEOUT,,,0,
