Scope,MethodId,n_OK,n_TIMEOUT,n_ERROR,median_time_sec,p95_time_sec
ALL,3,23,4,0,1.593399,3.220829
ALL,4,11,16,0,0.021548,46.003233
ALL,5,27,0,0,1.125034,30.280947999999995
Geant2004,3,4,0,0,0.404139,0.404139
Geant2004,4,4,0,0,0.021548,0.021548
Geant2004,5,4,0,0,0.003847,0.003847
IEEE-118,3,0,4,0,,
IEEE-118,4,4,0,0,46.003233,46.00323300000001
IEEE-118,5,4,0,0,30.280948,30.280948
K4,3,3,0,0,0.00103,0.00103
K4,4,3,0,0,0.000695,0.0006950000000000001
K4,5,3,0,0,0.000551,0.000551
sausage,3,16,0,0,1.9330215000000002,3.220829
sausage,4,0,16,0,,
sausage,5,16,0,0,1.516213,2.498334
