,m0,m1,m2,m3,m4,m5
m0,3,3,3,3,3,3
m1,3,7,7,7,7,7
m2,3,7,21,21,14,21
m3,3,7,21,25,18,25
m4,3,7,14,18,27,25
m5,3,7,21,25,25,32
