Graph,S,T,D,MethodId,Method,Status,Reliability,TimeSec,Recursions,Error
3_blocks_sausage_3x3_kao.txt,0,28,10,5,M-Decomp + CPFM (Level 5),OK,0.509826181948169,0.000142,9,
3_blocks_sausage_3x3_kao.txt,0,28,10,4,Cancela-Petingi (Level 4),OK,0.509826181948169,0.000094,4,
3_blocks_sausage_3x3_kao.txt,0,28,10,3,M-Decomposition (Level 3),OK,0.509826181948161,0.592000,101496,
3_blocks_sausage_3x3_kao.txt,0,28,10,2,Simple Factoring (Level 2),OK,0.509826181948818,0.181000,214147,
3_blocks_sausage_3x3_kao.txt,0,28,10,1,Recursive Decomposition (Level 1),OK,0.509826181948818,3.563000,4294110,
3_blocks_sausage_3x3_kao.txt,0,28,10,0,Standard Factoring (Level 0),TIMEOUT,,,0,
3_blocks_sausage_3x3_kao.txt,0,28,11,5,M-Decomp + CPFM (Level 5),OK,0.819793714073742,0.324358,52817,
3_blocks_sausage_3x3_kao.txt,0,28,11,4,Cancela-Petingi (Level 4),OK,0.819793714073742,0.010690,436,
3_blocks_sausage_3x3_kao.txt,0,28,11,3,M-Decomposition (Level 3),OK,0.819793714073727,0.585000,101496,
3_blocks_sausage_3x3_kao.txt,0,28,11,2,Simple Factoring (Level 2),OK,0.819793714075253,0.468000,524448,
3_blocks_sausage_3x3_kao.txt,0,28,11,1,Recursive Decomposition (Level 1),OK,0.819793714075253,6.924000,6722430,
3_blocks_sausage_3x3_kao.txt,0,28,11,0,Standard Factoring (Level 0),TIMEOUT,,,0,
3_blocks_sausage_3x3_kao.txt,0,28,12,5,M-Decomp + CPFM (Level 5),OK,0.934403607310576,0.518246,54762,
3_blocks_sausage_3x3_kao.txt,0,28,12,4,Cancela-Petingi (Level 4),OK,0.934403607310576,1.222031,15221,
3_blocks_sausage_3x3_kao.txt,0,28,12,3,M-Decomposition (Level 3),OK,0.934403607310560,1.007000,101496,
3_blocks_sausage_3x3_kao.txt,0,28,12,2,Simple Factoring (Level 2),OK,0.934403607312682,1.163000,881093,
3_blocks_sausage_3x3_kao.txt,0,28,12,1,Recursive Decomposition (Level 1),OK,0.934403607312682,12.274000,9759970,
3_blocks_sausage_3x3_kao.txt,0,28,12,0,Standard Factoring (Level 0),TIMEOUT,,,0,
3_blocks_sausage_3x3_kao.txt,0,28,13,5,M-Decomp + CPFM (Level 5),OK,0.959339550846875,0.817832,42156,
3_blocks_sausage_3x3_kao.txt,0,28,13,4,Cancela-Petingi (Level 4),OK,0.959339550846875,123.071666,458307,
3_blocks_sausage_3x3_kao.txt,0,28,13,3,M-Decomposition (Level 3),OK,0.959339550846859,1.033000,101496,
3_blocks_sausage_3x3_kao.txt,0,28,13,2,Simple Factoring (Level 2),OK,0.959339550849244,1.612000,1241100,
3_blocks_sausage_3x3_kao.txt,0,28,13,1,Recursive Decomposition (Level 1),OK,0.959339550849244,16.947000,13406934,
3_blocks_sausage_3x3_kao.txt,0,28,13,0,Standard Factoring (Level 0),TIMEOUT,,,0,
4_blocks_sausage_3x3_kao.txt,0,38,14,5,M-Decomp + CPFM (Level 5),OK,0.489090483797539,0.000210,16,
4_blocks_sausage_3x3_kao.txt,0,38,14,4,Cancela-Petingi (Level 4),OK,0.489090483797539,0.000876,29,
4_blocks_sausage_3x3_kao.txt,0,38,14,3,M-Decomposition (Level 3),OK,0.489090483797531,1.786000,131580,
4_blocks_sausage_3x3_kao.txt,0,38,14,2,Simple Factoring (Level 2),OK,0.489090483798791,0.521000,395498,
4_blocks_sausage_3x3_kao.txt,0,38,14,1,Recursive Decomposition (Level 1),TIMEOUT,,,0,
4_blocks_sausage_3x3_kao.txt,0,38,14,0,Standard Factoring (Level 0),TIMEOUT,,,0,
4_blocks_sausage_3x3_kao.txt,0,38,15,5,M-Decomp + CPFM (Level 5),OK,0.803143004288667,1.173881,105482,
4_blocks_sausage_3x3_kao.txt,0,38,15,4,Cancela-Petingi (Level 4),OK,0.803143004288667,1.080278,14906,
4_blocks_sausage_3x3_kao.txt,0,38,15,3,M-Decomposition (Level 3),OK,0.803143004288652,2.083000,131580,
